file,strength,intelligence,wisdom,dexterity,constitution,charisma,alignment
10037.jpg,11,12,13,12,11,14,neutral good
10113.jpg,12,16,15,14,14,12,neutral good
10121.jpg,14,11,12,6,12,5,lawful good
10129.jpg,14,13,13,14,13,13,lawful good
10139.jpg,8,7,6,8,7,8,lawful good
10195.jpg,15,14,16,15,12,14,lawful good
10212.jpg,7,10,10,10,10,10,lawful good
10220.jpg,12,15,16,15,11,13,lawful neutral
10221.jpg,14,16,12,13,14,16,lawful neutral
10230.jpg,15,14,14,13,14,13,lawful good
1034.jpg,11,11,12,11,10,11,lawful good
10558.jpg,8,9,9,7,7,7,lawful good
10561.jpg,10,11,8,10,10,12,lawful good
10620.jpg,15,16,16,14,15,15,lawful good
10642.jpg,14,11,9,8,9,9,lawful good
1071.jpg,11,13,10,12,11,13,lawful evil
10735.jpg,15,14,16,13,15,6,lawful good
1077.jpg,7,7,7,7,7,6,lawful good
10793.jpg,7,6,6,6,6,7,lawful good
10822.jpg,7,8,7,8,7,6,lawful neutral
10824.jpg,8,9,7,8,8,7,lawful good
10832.jpg,12,14,13,16,15,14,lawful neutral
10848.jpg,14,15,16,13,15,14,lawful neutral
10899.jpg,12,11,11,9,11,10,lawful good
1280.jpg,7,7,7,6,8,6,lawful good
13.jpg,4,12,10,5,8,15,lawful good
1365.jpg,12,14,15,11,13,12,lawful good
1440.jpg,5,7,7,6,7,7,lawful neutral
1498.jpg,9,8,8,9,7,8,lawful good
1507.jpg,10,10,10,10,9,10,lawful good
152.jpg,12,7,6,8,10,7,neutral good
1527.jpg,10,12,10,10,12,10,lawful neutral
156.jpg,7,6,7,5,5,3,lawful good
16.jpg,14,16,13,13,12,15,lawful good
161.jpg,10,12,14,11,12,10,lawful good
1623.jpg,11,10,11,11,10,11,lawful good
1625.jpg,7,7,7,7,8,7,neutral good
1630.jpg,6,9,8,3,7,8,lawful good
1705.jpg,12,11,10,11,12,11,lawful neutral
1756.jpg,14,13,12,11,10,12,neutral evil
180.jpg,10,11,13,12,15,10,lawful good
1845.jpg,5,10,12,0,12,10,lawful good
1896.jpg,15,11,10,13,12,12,lawful good
1900.jpg,7,6,7,7,5,6,lawful good
2.jpg,6,4,5,5,4,5,lawful good
2017.jpg,6,6,6,6,6,7,neutral good
211.jpg,15,12,14,12,10,13,lawful good
2172.jpg,7,8,9,6,7,5,lawful neutral
228.jpg,7,9,11,7,7,8,lawful good
2296.jpg,12,14,13,15,16,12,lawful good
2338.jpg,8,6,8,7,7,6,lawful good
24.jpg,18,16,13,12,5,15,lawful good
2444.jpg,8,10,12,5,10,5,lawful good
2595.jpg,6,8,9,7,8,7,lawful good
2611.jpg,12,11,11,8,11,8,lawful neutral
2644.jpg,15,16,17,15,15,16,lawful good
2670.jpg,6,7,8,7,7,10,lawful good
2685.jpg,8,8,8,8,8,6,lawful good
2709.jpg,14,14,12,11,11,11,lawful neutral
280.jpg,7,6,8,6,8,7,lawful good
2832.jpg,12,14,14,14,14,13,lawful good
29.jpg,15,14,13,14,15,16,lawful good
2912.jpg,10,9,8,7,7,7,lawful neutral
293.jpg,7,8,8,6,7,5,lawful good
296.jpg,8,13,9,10,12,10,lawful good
31.jpg,8,6,6,6,6,6,lawful neutral
3124.jpg,7,8,7,6,7,7,lawful good
313.jpg,11,9,9,8,11,9,lawful good
315.jpg,14,13,14,12,14,13,lawful good
3208.jpg,12,15,16,14,13,10,lawful good
3280.jpg,5,4,5,3,5,2,lawful neutral
3320.jpg,15,14,12,16,13,17,lawful good
3330.jpg,9,11,11,11,12,11,lawful good
3460.jpg,10,8,8,7,10,9,lawful good
3503.jpg,15,12,15,13,14,16,lawful good
3574.jpg,15,13,13,14,11,9,lawful good
3575.jpg,7,8,6,5,7,6,lawful evil
3610.jpg,8,7,10,5,8,3,lawful good
3623.jpg,6,6,6,5,7,6,lawful neutral
3658.jpg,16,14,13,12,13,11,lawful good
3726.jpg,6,8,5,8,5,8,lawful good
3740.jpg,12,14,11,12,13,15,lawful good
3771.jpg,7,8,9,6,7,7,lawful good
3777.jpg,9,9,9,9,9,9,neutral good
3800.jpg,8,9,7,5,9,9,lawful good
381.jpg,16,13,12,11,14,15,neutral good
3889.jpg,6,7,7,6,7,7,lawful neutral
3904.jpg,15,15,14,16,17,14,chaotic good
3923.jpg,8,7,8,8,8,2,lawful good
3935.jpg,16,14,15,16,12,16,lawful good
3984.jpg,6,6,7,5,7,4,neutral good
3989.jpg,14,11,12,11,10,12,lawful good
3990.jpg,6,7,7,5,6,7,lawful good
40.jpg,8,15,16,8,8,8,lawful good
4001.jpg,8,7,7,6,7,3,lawful neutral
4218.jpg,7,9,10,8,8,9,lawful neutral
4279.jpg,15,14,15,15,12,11,lawful good
4392.jpg,15,10,14,13,17,15,lawful neutral
443.jpg,15,14,14,13,16,14,lawful good
4453.jpg,15,12,15,15,16,15,lawful good
4495.jpg,4,5,5,4,4,4,lawful neutral
4539.jpg,14,13,11,12,14,14,chaotic good
4592.jpg,12,15,14,11,10,13,lawful neutral
4609.jpg,8,7,8,8,7,7,lawful good
4610.jpg,7,8,7,6,6,7,lawful neutral
4634.jpg,10,12,12,11,11,12,lawful good
4642.jpg,6,5,6,4,7,3,lawful good
468.jpg,8,9,7,7,7,8,neutral good
4686.jpg,8,10,9,8,9,10,lawful neutral
4729.jpg,15,16,14,15,14,15,lawful neutral
4799.jpg,12,15,14,11,13,14,lawful good
4820.jpg,7,8,7,7,8,8,lawful good
4852.jpg,10,12,8,9,11,8,lawful good
4875.jpg,6,6,6,1,1,6,lawful good
4922.jpg,12,11,9,13,11,10,lawful good
5023.jpg,7,10,5,6,7,7,lawful good
5044.jpg,5,6,6,5,4,5,lawful good
5047.jpg,7,7,7,5,5,5,lawful good
5117.jpg,12,14,15,13,11,14,lawful neutral
5212.jpg,16,11,13,12,16,12,lawful good
5231.jpg,15,14,13,14,16,15,lawful good
534.jpg,10,11,11,10,10,11,lawful neutral
5447.jpg,11,13,14,12,11,10,lawful good
551.jpg,7,7,7,7,6,7,lawful good
5512.jpg,15,15,15,15,15,12,lawful good
5550.jpg,5,7,5,4,4,4,lawful neutral
5553.jpg,7,8,6,6,5,7,lawful neutral
5563.jpg,7,7,7,7,7,7,lawful neutral
5578.jpg,13,12,12,12,13,12,lawful neutral
5613.jpg,13,14,12,14,10,14,lawful good
5619.jpg,13,12,11,14,12,13,lawful neutral
569.jpg,12,10,10,12,11,10,lawful good
5767.jpg,15,14,14,14,15,15,lawful good
5869.jpg,6,6,6,6,6,6,lawful good
5887.jpg,12,10,8,9,10,12,lawful good
5948.jpg,8,8,8,7,7,7,lawful good
597.jpg,10,7,5,10,6,5,lawful good
6005.jpg,8,9,8,7,7,10,lawful neutral
601.jpg,13,12,14,11,12,11,lawful good
6127.jpg,10,15,16,10,14,13,lawful neutral
6163.jpg,11,11,11,11,11,11,lawful neutral
621.jpg,12,8,7,8,9,5,lawful neutral
6233.jpg,13,13,13,13,13,13,lawful good
6276.jpg,14,16,13,12,14,17,lawful good
629.jpg,12,10,12,10,12,12,chaotic neutral
6314.jpg,14,13,13,10,12,13,lawful good
6381.jpg,7,7,6,5,5,5,lawful good
6439.jpg,5,11,10,6,10,8,lawful good
6486.jpg,13,12,13,10,10,11,lawful good
657.jpg,12,13,13,11,12,9,neutral good
6613.jpg,7,10,10,6,5,8,lawful good
6617.jpg,18,18,18,16,18,16,lawful good
6637.jpg,13,7,9,9,15,5,lawful good
6653.jpg,11,13,10,11,12,11,lawful good
67.jpg,16,16,15,15,14,15,lawful neutral
6704.jpg,15,17,16,14,13,18,lawful good
6759.jpg,11,12,11,11,12,11,lawful good
690.jpg,3,3,3,3,3,3,lawful good
6971.jpg,13,10,11,10,11,6,lawful good
6997.jpg,18,16,15,14,14,16,lawful neutral
7019.jpg,16,17,17,16,15,17,lawful good
7071.jpg,5,6,7,5,7,6,lawful good
7078.jpg,16,13,15,15,14,14,lawful good
7149.jpg,12,11,10,10,8,12,lawful good
7228.jpg,7,7,8,7,6,7,neutral good
7232.jpg,14,15,13,15,13,14,lawful good
7272.jpg,7,7,7,6,8,7,lawful good
733.jpg,11,14,13,12,12,15,lawful neutral
7389.jpg,10,10,10,10,10,10,lawful good
7390.jpg,15,13,11,11,11,13,chaotic good
743.jpg,11,10,11,9,11,9,lawful neutral
7495.jpg,12,12,11,12,11,12,lawful good
7549.jpg,14,11,9,13,11,8,lawful good
7565.jpg,14,15,13,10,12,14,neutral good
7578.jpg,15,13,16,14,14,11,lawful good
7581.jpg,15,14,13,13,12,12,lawful evil
7625.jpg,14,16,14,12,12,14,neutral good
7694.jpg,5,4,6,4,6,3,lawful good
775.jpg,6,8,7,5,7,9,lawful good
7878.jpg,12,11,11,10,10,11,lawful good
7886.jpg,9,8,7,9,7,11,lawful good
7894.jpg,15,16,15,16,15,15,lawful good
7936.jpg,8,9,8,6,10,5,lawful good
7953.jpg,15,16,15,14,16,15,lawful good
7998.jpg,11,8,10,9,8,5,lawful good
801.jpg,7,5,5,6,5,5,chaotic neutral
8092.jpg,14,10,12,8,10,11,chaotic neutral
812.jpg,3,7,7,3,6,7,lawful good
8146.jpg,16,16,16,12,15,16,lawful good
8181.jpg,14,15,14,13,6,12,lawful good
8231.jpg,6,7,6,5,6,5,neutral good
825.jpg,7,7,5,6,8,6,lawful good
8392.jpg,15,15,15,12,15,15,lawful good
8523.jpg,5,10,10,8,7,12,lawful good
8557.jpg,13,14,12,11,11,10,lawful good
8563.jpg,7,9,7,8,11,7,lawful neutral
8593.jpg,13,13,13,13,13,13,lawful good
8612.jpg,13,14,14,12,14,12,lawful neutral
8657.jpg,5,5,5,5,5,5,lawful neutral
8737.jpg,15,12,14,14,12,16,lawful good
8765.jpg,14,14,13,14,14,12,neutral good
8824.jpg,15,12,14,16,13,11,lawful good
8836.jpg,10,9,9,5,6,9,lawful neutral
8861.jpg,7,10,11,7,9,5,lawful neutral
8872.jpg,10,10,10,10,10,10,lawful good
8877.jpg,5,6,5,4,5,6,lawful neutral
8897.jpg,7,7,7,7,7,7,lawful good
8951.jpg,16,15,14,16,15,16,chaotic neutral
8970.jpg,7,10,5,7,6,6,chaotic neutral
9012.jpg,14,11,13,11,11,11,lawful good
9024.jpg,7,7,8,7,7,7,lawful neutral
9116.jpg,16,12,11,13,12,14,lawful good
914.jpg,16,16,16,16,16,16,lawful good
9143.jpg,13,15,15,13,13,15,neutral good
9295.jpg,15,14,16,15,14,15,lawful good
9360.jpg,16,16,16,16,16,16,lawful good
9458.jpg,15,13,16,14,13,14,lawful good
9506.jpg,3,4,4,4,4,3,lawful neutral
9674.jpg,15,14,13,12,12,15,lawful good
9741.jpg,10,10,8,10,10,10,lawful good
9809.jpg,12,13,14,13,11,10,chaotic neutral
9852.jpg,12,10,10,10,10,10,lawful neutral
9977.jpg,12,10,10,10,12,8,lawful good
9996.jpg,15,12,10,10,10,12,lawful good
1022.jpg,7,8,7,8,9,7,lawful neutral
10307.jpg,7,8,8,7,6,8,lawful good
10784.jpg,7,6,5,5,5,5,lawful evil
1538.jpg,12,11,11,12,11,11,lawful good
1616.jpg,12,15,14,13,14,15,lawful evil
213.jpg,7,7,7,7,8,8,lawful good
225.jpg,12,5,5,7,13,5,lawful good
2284.jpg,16,17,16,14,17,18,lawful good
2553.jpg,7,7,8,7,7,8,lawful good
2634.jpg,6,5,5,6,5,5,chaotic good
268.jpg,10,11,10,9,11,9,lawful good
2692.jpg,10,11,11,9,10,9,lawful good
2993.jpg,8,9,8,7,7,8,lawful good
3046.jpg,12,14,13,11,14,10,lawful good
3363.jpg,14,15,12,11,13,16,lawful good
343.jpg,8,8,8,7,8,7,lawful good
3668.jpg,15,15,15,14,15,16,lawful good
4265.jpg,12,10,10,12,10,11,lawful good
488.jpg,7,9,9,10,11,8,lawful neutral
4897.jpg,10,10,7,10,10,10,lawful good
511.jpg,14,12,11,13,10,12,lawful good
5261.jpg,12,13,12,10,11,10,lawful good
5566.jpg,11,14,10,7,12,13,neutral evil
5690.jpg,11,10,11,10,10,9,lawful good
5823.jpg,9,11,12,11,12,10,lawful good
60.jpg,7,7,6,7,6,7,lawful good
6021.jpg,15,16,14,13,15,10,neutral good
6071.jpg,11,10,12,15,14,14,lawful neutral
6146.jpg,12,11,11,10,11,6,lawful neutral
6710.jpg,13,15,14,11,12,14,lawful good
6793.jpg,6,8,7,6,6,8,lawful good
6983.jpg,15,14,16,14,13,14,lawful good
7265.jpg,12,13,10,11,12,14,lawful good
7267.jpg,12,15,11,14,13,16,lawful good
7338.jpg,12,9,5,8,6,11,lawful good
7402.jpg,11,12,11,11,10,12,lawful good
7755.jpg,15,14,13,11,12,13,lawful good
7779.jpg,11,11,10,10,10,10,lawful good
778.jpg,6,7,5,7,8,9,lawful good
7874.jpg,12,13,11,10,10,12,lawful good
8016.jpg,13,15,12,14,11,15,lawful evil
8067.jpg,16,15,12,16,12,13,lawful good
8199.jpg,14,16,16,12,13,14,lawful good
84.jpg,7,8,4,6,5,9,lawful good
8592.jpg,12,12,12,12,12,12,lawful neutral
8682.jpg,12,11,12,10,11,8,lawful neutral
8812.jpg,7,7,7,6,7,7,lawful good
8880.jpg,15,14,13,10,16,11,lawful good
8938.jpg,6,10,12,7,8,12,neutral good
8967.jpg,12,14,11,14,13,10,lawful neutral
904.jpg,6,6,5,6,6,4,lawful good
9134.jpg,7,7,6,6,7,7,lawful good
9144.jpg,12,14,13,11,12,10,chaotic evil
9153.jpg,14,15,13,10,13,15,chaotic neutral
9176.jpg,10,10,10,10,10,10,lawful good
9195.jpg,10,15,12,15,9,15,lawful neutral
9254.jpg,7,7,7,7,6,6,lawful neutral
9334.jpg,12,12,12,8,12,8,chaotic evil
9359.jpg,10,11,11,10,11,11,lawful good
9584.jpg,12,12,10,10,10,11,lawful good
979.jpg,15,14,14,12,15,8,lawful good
9844.jpg,8,7,7,7,6,6,lawful good
9850.jpg,6,7,7,7,7,7,lawful good
6308.jpg,11,12,13,11,14,11,lawful good
686.jpg,13,14,12,14,13,15,lawful good
7361.jpg,7,10,9,7,8,7,lawful good
7475.jpg,16,15,14,15,14,11,lawful good
7959.jpg,7,8,7,8,8,7,lawful good
8228.jpg,7,7,6,7,7,6,lawful good
8341.jpg,16,17,17,18,15,12,lawful neutral
8429.jpg,17,15,16,14,18,16,lawful neutral
8552.jpg,7,8,6,7,6,4,lawful good
9422.jpg,12,10,14,10,12,10,lawful good
5799.jpg,16,16,15,13,14,13,lawful good
8197.jpg,7,9,6,7,8,7,lawful good
955.jpg,15,12,11,8,5,4,lawful evil
